date,revenue,units_sold,marketing_spend,region,bike_model,cost_per_unit,profit_margin
2025-01-01,45200.00,38,3200.00,North,Mountain Pro X1,850.00,22.5
2025-01-02,38750.00,31,2800.00,South,Trail Blazer 500,780.00,20.1
2025-01-03,52100.00,42,4100.00,East,Speed Racer Elite,920.00,25.3
2025-01-04,41300.00,34,3000.00,West,Urban Commuter 300,650.00,18.7
2025-01-05,47800.00,39,3500.00,North,Mountain Pro X1,850.00,22.5
2025-01-06,33200.00,28,2400.00,South,Classic Cruiser 200,520.00,15.4
2025-01-07,55400.00,45,4300.00,East,Speed Racer Elite,920.00,25.3
2025-01-08,42600.00,35,3100.00,West,Trail Blazer 500,780.00,20.1
2025-01-09,49100.00,40,3700.00,North,Electric Glide E1,1200.00,28.6
2025-01-10,36500.00,30,2600.00,South,Urban Commuter 300,650.00,18.7
2025-01-11,51800.00,42,4000.00,East,Mountain Pro X1,850.00,22.5
2025-01-12,44900.00,37,3300.00,West,Speed Racer Elite,920.00,25.3
2025-01-13,58200.00,47,4600.00,North,Electric Glide E1,1200.00,28.6
2025-01-14,39400.00,32,2900.00,South,Classic Cruiser 200,520.00,15.4
2025-01-15,46700.00,38,3400.00,East,Trail Blazer 500,780.00,20.1
2025-01-16,53900.00,44,4200.00,West,Speed Racer Elite,920.00,25.3
2025-01-17,41100.00,33,3000.00,North,Mountain Pro X1,850.00,22.5
2025-01-18,37800.00,31,2700.00,South,Urban Commuter 300,650.00,18.7
2025-01-19,56300.00,46,4400.00,East,Electric Glide E1,1200.00,28.6
2025-01-20,43500.00,36,3200.00,West,Trail Blazer 500,780.00,20.1
2025-01-21,50200.00,41,3800.00,North,Speed Racer Elite,920.00,25.3
2025-01-22,35600.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-01-23,48400.00,39,3600.00,East,Mountain Pro X1,850.00,22.5
2025-01-24,42100.00,34,3100.00,West,Urban Commuter 300,650.00,18.7
2025-01-25,54700.00,44,4300.00,North,Electric Glide E1,1200.00,28.6
2025-01-26,38900.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-01-27,51500.00,42,4000.00,East,Speed Racer Elite,920.00,25.3
2025-01-28,44200.00,36,3200.00,West,Mountain Pro X1,850.00,22.5
2025-01-29,47300.00,38,3500.00,North,Classic Cruiser 200,520.00,15.4
2025-01-30,57100.00,46,4500.00,East,Electric Glide E1,1200.00,28.6
2025-01-31,40800.00,33,2900.00,South,Urban Commuter 300,650.00,18.7
2025-02-01,46900.00,38,3400.00,North,Trail Blazer 500,780.00,20.1
2025-02-02,53200.00,43,4100.00,East,Speed Racer Elite,920.00,25.3
2025-02-03,39500.00,32,2800.00,South,Mountain Pro X1,850.00,22.5
2025-02-04,48700.00,40,3700.00,West,Electric Glide E1,1200.00,28.6
2025-02-05,55800.00,45,4400.00,North,Speed Racer Elite,920.00,25.3
2025-02-06,36200.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-02-07,43100.00,35,3100.00,East,Trail Blazer 500,780.00,20.1
2025-02-08,50600.00,41,3900.00,West,Mountain Pro X1,850.00,22.5
2025-02-09,45500.00,37,3300.00,North,Electric Glide E1,1200.00,28.6
2025-02-10,41800.00,34,3000.00,South,Urban Commuter 300,650.00,18.7
2025-02-11,52400.00,43,4100.00,East,Speed Racer Elite,920.00,25.3
2025-02-12,38100.00,31,2700.00,West,Classic Cruiser 200,520.00,15.4
2025-02-13,49300.00,40,3700.00,North,Mountain Pro X1,850.00,22.5
2025-02-14,44800.00,36,3200.00,South,Trail Blazer 500,780.00,20.1
2025-02-15,56900.00,46,4500.00,East,Electric Glide E1,1200.00,28.6
2025-02-16,42300.00,34,3100.00,West,Speed Racer Elite,920.00,25.3
2025-02-17,47600.00,39,3500.00,North,Trail Blazer 500,780.00,20.1
2025-02-18,37400.00,30,2600.00,South,Mountain Pro X1,850.00,22.5
2025-02-19,54100.00,44,4200.00,East,Speed Racer Elite,920.00,25.3
2025-02-20,40200.00,33,2900.00,West,Urban Commuter 300,650.00,18.7
2025-02-21,51700.00,42,4000.00,North,Electric Glide E1,1200.00,28.6
2025-02-22,35900.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-02-23,48800.00,40,3700.00,East,Mountain Pro X1,850.00,22.5
2025-02-24,43700.00,35,3200.00,West,Trail Blazer 500,780.00,20.1
2025-02-25,57400.00,47,4500.00,North,Speed Racer Elite,920.00,25.3
2025-02-26,39800.00,32,2800.00,South,Urban Commuter 300,650.00,18.7
2025-02-27,50900.00,41,3900.00,East,Electric Glide E1,1200.00,28.6
2025-02-28,45100.00,37,3300.00,West,Mountain Pro X1,850.00,22.5
2025-03-01,53500.00,43,4100.00,North,Speed Racer Elite,920.00,25.3
2025-03-02,38300.00,31,2700.00,South,Trail Blazer 500,780.00,20.1
