date,revenue,active_subscribers,new_customers,churned_customers,mrr,expansion_revenue,plan_type,region
2025-01-01,28500.00,1420,85,32,285000.00,12400.00,Pro,North
2025-01-02,26800.00,1408,72,28,268000.00,10800.00,Starter,South
2025-01-03,31200.00,1455,95,38,312000.00,14200.00,Enterprise,East
2025-01-04,24500.00,1380,65,30,245000.00,9600.00,Starter,West
2025-01-05,29100.00,1432,88,35,291000.00,12800.00,Pro,North
2025-01-06,27600.00,1415,78,31,276000.00,11400.00,Pro,South
2025-01-07,33400.00,1478,102,42,334000.00,15600.00,Enterprise,East
2025-01-08,25200.00,1392,68,29,252000.00,9900.00,Starter,West
2025-01-09,30800.00,1448,92,36,308000.00,13800.00,Pro,North
2025-01-10,26100.00,1402,74,27,261000.00,10500.00,Starter,South
2025-01-11,32600.00,1468,98,40,326000.00,15000.00,Enterprise,East
2025-01-12,24800.00,1386,66,31,248000.00,9700.00,Starter,West
2025-01-13,29700.00,1440,90,34,297000.00,13000.00,Pro,North
2025-01-14,27200.00,1412,76,30,272000.00,11200.00,Pro,South
2025-01-15,34100.00,1488,105,44,341000.00,16200.00,Enterprise,East
2025-01-16,25800.00,1398,70,28,258000.00,10200.00,Starter,West
2025-01-17,31500.00,1458,94,37,315000.00,14400.00,Pro,North
2025-01-18,26500.00,1405,75,29,265000.00,10700.00,Starter,South
2025-01-19,33000.00,1472,100,41,330000.00,15400.00,Enterprise,East
2025-01-20,24200.00,1378,64,30,242000.00,9500.00,Starter,West
2025-01-21,29400.00,1436,89,35,294000.00,12600.00,Pro,North
2025-01-22,27900.00,1418,80,32,279000.00,11600.00,Pro,South
2025-01-23,35200.00,1502,108,45,352000.00,16800.00,Enterprise,East
2025-01-24,25500.00,1395,69,28,255000.00,10100.00,Starter,West
2025-01-25,30200.00,1445,91,36,302000.00,13400.00,Pro,North
2025-01-26,26800.00,1408,77,30,268000.00,10900.00,Starter,South
2025-01-27,32000.00,1462,96,39,320000.00,14800.00,Enterprise,East
2025-01-28,24600.00,1382,65,31,246000.00,9600.00,Starter,West
2025-01-29,29800.00,1442,90,34,298000.00,13100.00,Pro,North
2025-01-30,27500.00,1414,78,31,275000.00,11300.00,Pro,South
2025-01-31,33800.00,1485,104,43,338000.00,16000.00,Enterprise,East
2025-02-01,25300.00,1394,69,28,253000.00,10000.00,Starter,West
2025-02-02,31000.00,1452,93,37,310000.00,14000.00,Pro,North
2025-02-03,26300.00,1404,74,29,263000.00,10600.00,Starter,South
2025-02-04,32800.00,1470,99,40,328000.00,15200.00,Enterprise,East
2025-02-05,24400.00,1380,64,30,244000.00,9500.00,Starter,West
2025-02-06,29600.00,1438,89,35,296000.00,12800.00,Pro,North
2025-02-07,27100.00,1410,76,30,271000.00,11100.00,Pro,South
2025-02-08,34500.00,1492,106,44,345000.00,16400.00,Enterprise,East
2025-02-09,25700.00,1396,70,28,257000.00,10200.00,Starter,West
2025-02-10,30500.00,1447,92,36,305000.00,13600.00,Pro,North
2025-02-11,26600.00,1406,76,30,266000.00,10800.00,Starter,South
2025-02-12,32200.00,1464,97,39,322000.00,14900.00,Enterprise,East
2025-02-13,24900.00,1384,66,31,249000.00,9700.00,Starter,West
2025-02-14,29900.00,1443,91,35,299000.00,13200.00,Pro,North
2025-02-15,27400.00,1413,77,31,274000.00,11200.00,Pro,South
2025-02-16,33500.00,1482,103,43,335000.00,15800.00,Enterprise,East
2025-02-17,25100.00,1391,68,28,251000.00,9900.00,Starter,West
2025-02-18,30800.00,1450,93,36,308000.00,13800.00,Pro,North
2025-02-19,26000.00,1401,73,29,260000.00,10400.00,Starter,South
2025-02-20,32900.00,1471,100,41,329000.00,15300.00,Enterprise,East
2025-02-21,24300.00,1379,64,30,243000.00,9400.00,Starter,West
2025-02-22,29300.00,1435,88,34,293000.00,12600.00,Pro,North
2025-02-23,27800.00,1417,79,32,278000.00,11500.00,Pro,South
2025-02-24,35000.00,1500,107,45,350000.00,16600.00,Enterprise,East
2025-02-25,25400.00,1393,69,28,254000.00,10100.00,Starter,West
2025-02-26,30100.00,1444,91,36,301000.00,13300.00,Pro,North
2025-02-27,26400.00,1405,75,30,264000.00,10700.00,Starter,South
2025-02-28,32500.00,1467,98,40,325000.00,15100.00,Enterprise,East
2025-03-01,24700.00,1383,65,31,247000.00,9600.00,Starter,West
2025-03-02,30400.00,1446,92,37,304000.00,13500.00,Pro,North
2025-03-03,26900.00,1409,77,31,269000.00,11000.00,Pro,South
2025-03-04,34200.00,1490,105,44,342000.00,16100.00,Enterprise,East
2025-03-05,25600.00,1395,70,28,256000.00,10200.00,Starter,West
2025-03-06,31300.00,1456,94,37,313000.00,14200.00,Pro,North
2025-03-07,26200.00,1403,74,29,262000.00,10500.00,Starter,South
2025-03-08,33100.00,1474,101,41,331000.00,15500.00,Enterprise,East
2025-03-09,24100.00,1377,63,30,241000.00,9300.00,Starter,West
2025-03-10,29500.00,1437,89,35,295000.00,12700.00,Pro,North
2025-03-11,27300.00,1412,77,31,273000.00,11200.00,Pro,South
2025-03-12,35500.00,1505,109,46,355000.00,17000.00,Enterprise,East
2025-03-13,25000.00,1390,68,28,250000.00,9800.00,Starter,West
2025-03-14,30700.00,1449,92,36,307000.00,13700.00,Pro,North
2025-03-15,26700.00,1407,76,30,267000.00,10800.00,Starter,South
2025-03-16,32400.00,1466,98,40,324000.00,15000.00,Enterprise,East
2025-03-17,24600.00,1382,65,31,246000.00,9500.00,Starter,West
2025-03-18,29700.00,1440,90,35,297000.00,12900.00,Pro,North
2025-03-19,27000.00,1410,76,30,270000.00,11000.00,Pro,South
2025-03-20,34800.00,1496,107,44,348000.00,16500.00,Enterprise,East
2025-03-21,25300.00,1392,69,28,253000.00,10000.00,Starter,West
2025-03-22,31100.00,1454,94,37,311000.00,14100.00,Pro,North
2025-03-23,26500.00,1405,75,29,265000.00,10700.00,Starter,South
2025-03-24,32700.00,1469,99,41,327000.00,15200.00,Enterprise,East
2025-03-25,24800.00,1385,66,30,248000.00,9700.00,Starter,West
2025-03-26,30000.00,1443,91,36,300000.00,13200.00,Pro,North
2025-03-27,27600.00,1415,78,31,276000.00,11400.00,Pro,South
2025-03-28,34000.00,1488,104,43,340000.00,16000.00,Enterprise,East
2025-03-29,25500.00,1394,69,28,255000.00,10100.00,Starter,West
