date,revenue,units_sold,marketing_spend,region,product_category,refund_rate,customer_rating
2025-01-01,89500.00,142,6500.00,North,Smartphones,2.1,4.7
2025-01-02,72300.00,98,5200.00,South,Laptops,1.8,4.5
2025-01-03,65800.00,210,4800.00,East,Headphones,3.2,4.3
2025-01-04,94200.00,156,7100.00,West,Smartphones,2.0,4.8
2025-01-05,58400.00,185,4200.00,North,Tablets,2.5,4.4
2025-01-06,103600.00,168,7800.00,South,Smartphones,1.9,4.6
2025-01-07,47200.00,310,3500.00,East,Accessories,4.1,4.1
2025-01-08,81900.00,128,6100.00,West,Laptops,1.7,4.7
2025-01-09,69500.00,225,5000.00,North,Headphones,3.0,4.2
2025-01-10,91800.00,148,6800.00,South,Smartphones,2.2,4.5
2025-01-11,55100.00,175,4000.00,East,Tablets,2.7,4.3
2025-01-12,98700.00,160,7400.00,West,Smartphones,1.8,4.8
2025-01-13,43600.00,285,3200.00,North,Accessories,4.3,4.0
2025-01-14,78200.00,122,5800.00,South,Laptops,1.9,4.6
2025-01-15,67300.00,218,4900.00,East,Headphones,3.1,4.4
2025-01-16,92100.00,150,6900.00,West,Smartphones,2.1,4.7
2025-01-17,56800.00,180,4100.00,North,Tablets,2.6,4.2
2025-01-18,101200.00,164,7600.00,South,Smartphones,1.7,4.9
2025-01-19,45900.00,298,3400.00,East,Accessories,4.2,4.1
2025-01-20,83500.00,130,6200.00,West,Laptops,1.8,4.6
2025-01-21,71100.00,232,5100.00,North,Headphones,2.9,4.3
2025-01-22,95400.00,153,7200.00,South,Smartphones,2.0,4.7
2025-01-23,59200.00,188,4300.00,East,Tablets,2.4,4.4
2025-01-24,106800.00,172,8000.00,West,Smartphones,1.6,4.8
2025-01-25,48500.00,318,3600.00,North,Accessories,4.0,4.2
2025-01-26,79800.00,125,5900.00,South,Laptops,1.9,4.5
2025-01-27,68900.00,222,5000.00,East,Headphones,3.0,4.3
2025-01-28,93700.00,151,7000.00,West,Smartphones,2.1,4.6
2025-01-29,57600.00,183,4200.00,North,Tablets,2.5,4.3
2025-01-30,102400.00,166,7700.00,South,Smartphones,1.8,4.7
2025-01-31,44800.00,292,3300.00,East,Accessories,4.4,4.0
2025-02-01,85100.00,133,6300.00,West,Laptops,1.7,4.7
2025-02-02,70400.00,228,5100.00,North,Headphones,3.1,4.2
2025-02-03,96200.00,155,7200.00,South,Smartphones,2.0,4.8
2025-02-04,60100.00,191,4400.00,East,Tablets,2.3,4.5
2025-02-05,104500.00,169,7900.00,West,Smartphones,1.7,4.9
2025-02-06,46300.00,305,3400.00,North,Accessories,4.1,4.1
2025-02-07,80600.00,126,6000.00,South,Laptops,1.8,4.6
2025-02-08,66200.00,215,4800.00,East,Headphones,3.3,4.3
2025-02-09,90800.00,146,6800.00,West,Smartphones,2.2,4.5
2025-02-10,54300.00,173,3900.00,North,Tablets,2.8,4.2
